,,error,tweet_id,user_id,text,created_at,label,Drug Name Extracted,Drug Name Normalized,prediction,drugs_predicted,,,,,,
,790,1,8.34433E+17,295448855,"pt.1 so there was a recall on baby oragel. of course that would happen when my poor baby is teething..anyway,so i asked the pharmacist @ HEB",2/22/2017 16:00,1,baby oragel,baby orajel,0,error 1,misspelling of letter,,,,,
,381,1,7.75852E+17,1362646914,novacane for the pain,9/14/2016 0:23,1,novacane,novocain,0,1,,,,,,
,488,1,6.01639E+17,316939338,@Amecha_02 you was fulla that nyquill,5/22/2015 6:41,1,nyquill,nyquil,0,,,,,,,
,213,1,5.74071E+17,62254872,Rell talking about lets go out bitch I just popped a benedryl ima fall asleep in the bar,3/7/2015 4:54,1,benedryl,benadryl,0,,,,,,,
,142,1,7.14473E+17,1908290126,Doctors appointment at 10 to check on things. Gonna cuss them out and tell them the percoset made it a million times worse,3/28/2016 15:24,1,percoset,percocet,0,,,,,,,
,695,1,6.24286E+17,280329066,,7/23/2015 18:32,1,maderma,maderma,0,,,,,,,
,555,1,2.9802E+17,19742985,@GaynorPaul hmmm that makes little sense. Omeprazol?,2/3/2013 10:48,1,Omeprazol,Omeprazole,0,,,,,,,
,819,1,6.74573E+17,20422177,I'm soooo nauseous from the cytoxin treatment yesterday. I curled up on the couch and Princess… https://t.co/Fs4iAEjsYG,12/9/2015 12:54,1,cytoxin,Cytoxan,0,,,,,,,unclear why false negative
,341,1,5.39313E+17,287416804,RT @BobbyWalls7: @nicolebouleyx0 lol you need the strongest dose of adderal lol,12/1/2014 6:59,1,adderal,Adderall,0,,,,,,,
10,539,1,7.0596E+17,463376667,Fckin prescription is $805😐 they must've prescribed me anesthetics..🤔,3/5/2016 3:35,1,anestetics,anesthetics,0,,,,,,,
14,867,2,4.83338E+17,854977730,My doctor seriously prescribed me hydros for my headache ... Seriously? 😑,6/29/2014 19:57,1,hydros,hydrocodone,0,error2,cannot match alternate forms of drug,,,,,
,829,2,7.12355E+17,3285650641,they prescribed me percs but I hate how they make me feel,3/22/2016 19:06,1,percs,percocet,0,,,,,,,
,188,2,7.9272E+17,215336863,https://t.co/Q45ejwZmsO Sanofi agree 40% risk to baby when valproate taken in pregnancy. UK Epilim cases didn't get into court.JUSTICE?,10/30/2016 13:28,1,valporate; epilim,valproate; epilim,0,,,,,,,
,746,2,8.91045E+17,145255385,RT @Hookzilla: If he popped a Xan you wouldn't care https://t.co/YPBw7ajTwe,7/28/2017 21:15,1,xan,xanax,0,,,,,,,
,782,2,5.92206E+17,455471496,"@Probinsky not working. Drank medicine, water, even put vicks on 😂😩😭",4/26/2015 5:56,1,vicks,vicks vaporub,0,,,,,,,
,612,2,4.06766E+17,260901346,@kellsiehalstead well hopefully you get something!! They told me I could take dramamine and couple other things! Who is your doctor,11/30/2013 12:45,1,dramamine,dramamine,0,,,,,,,
,342,2,8.96595E+17,176899971,"@ImaLuckyLibra_ I never do , they even prescribed me sleeping pills and that don't work",8/13/2017 4:52,1,sleeping pills,sleeping pills,0,,,,,,,
,123,2,3.01688E+17,236856824,All I need is lemsip and bed.. What I've got? A house that doesn't seam to be warming up.#brrr ❄😕👎,2/13/2013 13:45,1,lemsip,lemsip,0,,,,,,,
,594,2,5.1934E+17,2733858256,I need some adderall,10/7/2014 4:12,1,adderall,adderall,0,,,,,,,
,203,2,6.10082E+17,43319004,Im not addicted to paracetamol btw,6/14/2015 13:50,1,paracetamol,paracetamol,0,,,,,,,
,393,2,7.50111E+17,384890819,I wanna pour a bottle of peroxide in both of my eyes,7/4/2016 23:37,1,peroxide,peroxide,0,,,,,,,
,569,2,7.40801E+17,889998474,"RT @cheechgonzalez: I need a drink, a blunt, a xan, and a cancer stick asap 💀",6/9/2016 7:00,1,xan,xanax,0,,,,,,,
,211,2,9.01919E+17,4839817161,"Bayer, J&amp;J in frame for bigger anti-clotting market opportunity https://t.co/PtPH9jwohm",8/27/2017 21:26,1,anti-clotting,anticoagulant,0,,,,,,,
,630,2,6.78513E+17,136381306,"Take a bath, pop a xan &amp; fuck your man. Ladies, this is for you, not for him.",12/20/2015 9:53,1,xan,xanax,0,,,,,,,
16,301,3,7.20144E+17,328176466,"""I put cortisone cream on my toothbrush this morning.""I'm dating a genius.",4/13/2016 6:59,1,cortisone cream,cortisone cream,0,,,,,,,
,269,3,9.02914E+17,91216675,"@Gawge0us Micro Ingredients Organic Maca Powder, 1lb, Gelatinized, Non-GMO, for Enhanced Bioavailability https://t.co/n1DIUiuU0x",8/30/2017 15:19,1,Micro Ingredients Organic Maca Powder,Micro Ingredients Organic Maca Powder,0,error 3,cannot recognize if drug composed of multiple words,,,,,
,476,3,8.15952E+17,578027512,@BriannaShrum (I also slather myself in our arnica salve because it's a muscle relief and it's incredible. Haha),1/2/2017 16:06,1,arnica salve,arnica salve,0,9,,,,,,
,392,3,8.49939E+17,7.61585E+17,Osteoarthritis :: Cortisone Injections Make You Put Weight https://t.co/fQWfGNGgdY,4/6/2017 10:57,1,cortisone injections,cortisone injections,0,,,,,,,
,109,3,8.14432E+17,414073002,Thank you @sugarhillonline for featuring our DLux #VitaminD Oral Sprays in the Winter Wellbeing Edit 👍,12/29/2016 11:25,1,dlux vitamind oral spray,Dlux Vitamin D oral spray,0,,,,,,,
,893,3,5.82518E+17,811165543,About to try myitworks hair skin and nail vitamins! http://t.co/30bzakS4Pj,3/30/2015 12:20,1,myitworks hair shin and nail vitamins,myitworks hair shin and nail vitamins,0,,,,,,,
,844,3,3.45603E+17,22808619,RT @LifeandStrength: My Way by @UberBeastMode: Creatine Ethyl Ester Vs Creatine Monohydrate http://t.co/1vhV9sbJ0S #creatine #strength #mus…,6/14/2013 18:06,1,Creatine ethyl ester; creatine monohydrate; creatine,Creatine ethyl ester; creatine monohydrate; creatine,0,,,,,,,
,675,3,7.88939E+17,340557625,"I just took 3,000 MG of PM pain relievers so let's hope I sleep through the night you guys 😊",10/20/2016 3:04,1,pm pain relievers,PM pain relievers,0,,,,,,,
,662,3,7.44966E+17,414073002,"RT @EssexBaby_: Oral #vitaminD spray? Weirdly, it's pretty tasty! @BetterYou_Ltd #pregnancyhealth - https://t.co/jGqJVKNgno https://t.co/U2…",6/20/2016 18:51,1,vitamind spray,vitamin D Spray,0,,,,,,,
,920,3,8.56688E+17,606444492,Online shopping and blaming the cough syrup with codeine when it arrives 🤷🏼‍♀️,4/25/2017 1:55,1,cough syrup with codeine,cough syrup with codeine,0,,,,,,,
,838,3,8.49363E+17,32627436,RT @blaaksuedepumps: Why do you take maca root?,4/4/2017 20:47,1,maca root,maca root,0,,,,,,,
,259,3,6.92152E+17,2471914449,This codeine pill got me feeling 🆙,1/27/2016 1:08,1,codeine pill,codeine pill,0,,,,,,,
,515,3,8.00884E+17,269942666,@hankrupright pretty good since the cortisone shot. Thanks for asking,11/22/2016 2:08,1,cortisone shot,cortisone shot,0,,,,,,,
,394,3,7.48617E+17,720776802,I just wanna be in class but instead my school sends me to the ER for an antibiotic shot for this dam dog bite 😒,6/30/2016 20:38,1,antibiotic shot,antibiotic shot,0,,,,,,,
,364,3,2.89193E+16,216561704,@jaysuar throat lozenges! Or gargle water with salt!,1/22/2011 20:58,1,throat lozenge,throat lozenge,0,,,,,,,
,100,3,8.83564E+17,3386595059,"||why are cold medicine liqui-gels so huge, they were so difficult to swallow ; n ;",7/8/2017 5:49,1,cold medicine liqui-gels,cold medicine liqui-gels,0,,,,,,,
5,929,4,7.91708E+17,194149078,Look it's too beautiful of a day for y'all to be upset. Catch me on a day I forget to take my antidepressants or something.,10/27/2016 18:27,1,antidepressants,antidepressants,0,error 4,cannot recognize plurals,,,,,
,913,4,8.69577E+17,1186181118,"E.R. Doctor gave me eye drops he knew he wasn't supposed to for pain relieve in my eye, now my ... https://t.co/KlzeE8Obr1",5/30/2017 15:30,1,eye drops,eye drops,0,,,,,,,
,731,4,7.96023E+17,2508529767,But possible UTI so she prescribed me antibiotics forgot to give them my insurance card payed $50 👀so gonna go back to try get money off smh,11/8/2016 16:14,1,antibiotics,antibiotics,0,,,,,,,
,61,4,8.63053E+17,20592715,"Please, tell me the name of these doctors? After 4 back surgeries I'm prescribed 2 tramadols a day, the doctor is terrified of the Feds. https://t.co/zY52YP4qWf",5/12/2017 15:27,1,tramadols,tramadol,0,,,,,,,
,712,4,8.596E+17,27012001,Lunch and hydrocodones by way of my mom tomorrow. How lucky am I!,5/3/2017 2:47,1,hydrocodones,hydrocodone,0,,,,,,,
,576,5,8.09691E+17,898306568,RT @motherboard: More research indicates the anesthetic and party drug ketamine is useful as an antidepressant https://t.co/whATK3jbwa http…,12/16/2016 9:26,1,ketamine; antidepressant,ketamine; antidepressant,0,error5,cannot recognize 2 or more drugs,,,,,
,720,5,8.72448E+17,463331339,I was placed on an antibiotic by my dentist for 10 days. My question is am I supposed to stop taking methotrexate... https://t.co/0GwyMIhDMj,6/7/2017 13:39,1,antibiotic; methotrexate,antibiotic; methotrexate,0,,,,,,,
10,581,5,5.83505E+17,581344409,"@Jay_sosa3 Vix on your chest or under your nose, NyQuil, boil water &amp; put your head over it &amp; let the steam clear you up, or a HOT shower",4/2/2015 5:44,1,vix; nyquil,vicks vaporub; nyquil,0,,,,,,,
,709,5,9.00675E+17,1879831,"If Rogaine and Nioxin fail, try Harklinikken. But first, you'll have to pass a rigorous selection process. https://t.co/nMg4aw94Se",8/24/2017 11:05,1,rogaine; nioxin; harklinikken,rogaine; nioxin; harklinikken,0,,,,,,,
,501,5,7.95393E+17,2613407936,"@synthpopisback I mean, it's mostly steroids. The most interesting thing I got is some sudafed.",11/6/2016 22:30,1,steroids; sudafed,steroids; sudafed,0,,,,,,,
,765,5,2.31887E+17,21353372,"Nothing says no-sleep-tonight quite like the sight of Nurofen, Calpol &amp; a thermometor on the bedside locker.... #onbabywatch",8/4/2012 22:58,1,Nurofen; Calpol,Nurofen; Calpol,0,,,,,,,
,379,5,8.9491E+17,913721358,When and how much arnica and bromelain should I use before a facelift with fat grafting? = ask your... https://t.co/lMN5EeGYqW,8/8/2017 13:16,1,arnica; bromelain,arnica; bromelain,0,,,,,,,
,641,5,9.0457E+17,3131199549,SSRIs vs. benzodiazepines for Daily use,9/4/2017 5:03,1,ssri; benzodiazepines,SSRI; benzodiazepines,0,,,,,,,
,432,5,8.50155E+17,170560157,"When I get home I might dose myself with allergy meds, pain meds, AND a throat lozenge because it is really, really bad.",4/7/2017 1:16,1,allergy meds; pain meds; throat lozenge,allergy meds; pain meds; throat lozenge,0,,,,,,,
,93,5,9.0471E+17,526425773,"@KennedyLucy Fizzy Vitamin C and zinc (in the same tablet, like). Take LOADS! 3 or 4 in one go.  Repeat every 5 hours. Good luck 😘😘😘😘",9/4/2017 14:16,1,fizzy vitamin c and zinc,Fizzy vitamin C and zinc,0,,,,,,,
14,90,6,6.78142E+17,25726490,#rx #drugs how long do you have to take methadone to get withdrawals https://t.co/9nTv66PjvQ,12/19/2015 9:16,1,methadone,methadone,0,error 6,did not recognize if word associated with drug is present (e.g take),,,,,
,868,6,2.15734E+17,15766583,Yay. I finally got my adderall again!,6/21/2012 9:14,1,adderall,adderall,0,6,,,,,,
,129,6,7.78414E+17,307111877,"Eddie Redmayne is an amazing actor, but his voice just doesn't sound right, like he needs to clear his throat or have lozenge. #judgeyIknow",9/21/2016 2:00,1,lozenge,lozenge,0,6,,,,,,
,105,6,4.88167E+17,23152955,"Just got the cherry vanilla flavoured panadol on my finger while getting the dose for littly. So I licked it off, god that stuff is foul!",7/13/2014 3:46,1,panadol,panadol,0,,,,,,,
,229,6,7.5838E+17,509687746,I have to do physical therapy 3 times a week😅 aaaand they prescribed me codeine lol,7/27/2016 19:15,1,codeine,codeine,0,,,,,,,
,404,6,5.86408E+17,2364599148,@natsbatz dick I took a fucking laxative and that my stomach hasn't felt good since then 😭😭😭,4/10/2015 5:57,1,laxative,laxative,0,,,,,,,
,729,6,6.53752E+17,408912728,A shot of morphine changes someone...... Their sleeping schedule that is,10/13/2015 1:58,1,morphine,morphine,0,,,,,,,
,625,6,5.0465E+16,223403971,all the aspirin in the world wont make my headache go away.,3/23/2011 7:52,1,aspirin,aspirin,0,,,,,,,
,702,6,9.03254E+17,2324138280,@Harrysbambina i love being the queen of adderall fkndbdjdj,8/31/2017 13:51,1,adderall,adderall,0,,,,,,,
,50,6,5.97999E+17,449561292,I typed an 8 page essay in one sitting without taking adderall #imachamp,5/12/2015 5:38,1,adderall,adderall,0,,,,,,,
,470,6,8.51998E+17,40777000,omg no puede ser my asthma is back at regular tedious force. I have to go backon beclomethasone,4/12/2017 3:19,1,beclomethasone,beclomethasone,0,,,,,,,
,570,6,8.25245E+17,110214127,Went to Walmart &amp; I forgot to freaking buy tums again 😩🙄,1/28/2017 7:30,1,tums,tums,0,,,,,,,
,345,6,7.63234E+17,1301965261,How do people drink codeine like I'm honestly confused. I just took some (that my dr prescribed me) &amp; it's so disgusting 😅😅😩,8/10/2016 4:43,1,codeine,codeine,0,,,,,,,
,304,6,5.34832E+17,40029897,"Want to know what was in this amazing syrup? Well, one grain (65 mg) of morphine per fluid ounce, ca http://t.co/XnNCJyDNXI",11/18/2014 22:12,1,morphine,morphine,0,,,,,,,
28,152,7,7.36565E+17,3002018372,Nasal spray is my best friend.,5/28/2016 14:28,1,nasal spray,nasal spray,0,error 7,cannot recognize capitalization,,,,,
,510,7,7.88919E+17,3225729434,I hate Vicks. It feels so freaking weird.,10/20/2016 1:44,1,vicks,vicks vaporub,0,,,,,,,
,273,7,6.67484E+17,29799400,Shoutout to this Adderall that's gonna help me drive the next 23 hours straight.,11/19/2015 23:25,1,adderall,adderall,0,,,,,,,
,679,7,5.52628E+17,1155205356,Vicks really is the cure to just about everything 😏👌,1/7/2015 0:51,1,vicks,vicks vaporub,0,,,,,,,
,889,7,4.84969E+17,32778223,"""@TheSpanishVines: Vicks fixes everything!  https://t.co/RttaJkD9GS"" @RC_Vega5 LMAO!!!",7/4/2014 7:56,1,vicks,vicks vaporub,0,,,,,,,
,357,7,8.71572E+17,21246586,@DiscoChrisco Rifling back Tums like you read about.,6/5/2017 3:39,1,tums,tums,0,,,,,,,
,413,7,8.14949E+17,20406074,You May Have Missed: Proactiv 3-Step System Review https://t.co/LBqNe7kaP3,12/30/2016 21:39,1,proactiv,Proactive,0,,,,,,,
,41,7,8.17032E+17,261317577,"@neanderpaul need to put Vaporub in a humidifier to solidify the process. Covering your chest, back, under nose is not enough. #MomSaid",1/5/2017 15:35,1,vaporub,vaporub,0,,,,,,,
,119,7,7.02172E+17,379349753,RT @Jstlivinbbyy: All this fckn medicine I been takn my p*ssy prob taste like Robitussin,2/23/2016 16:44,1,robitussin,robitussin,0,,,,,,,
,879,7,7.78483E+17,37728023,"Oxycodone Withdrawl: Hi,  I been taking 3-4 pills of Oxycodone 15MG everyday for about a year now. I weight... https://t.co/Y0cQ4ZT1Yx",9/21/2016 6:37,1,oxycodone; oxycodone,oxycodone; oxycodone,0,,,,,,,
,157,7,4.05447E+17,220080641,RT @AdderalIHadMe: Adderall had me like... http://t.co/VNUpsOJT7M,11/26/2013 21:22,1,adderall,Adderall,0,,,,,,,
,833,7,8.70571E+17,414073002,Supplementing #vitaminD during pregnancy may protect babies from asthma (via @ETPanache) https://t.co/Ss9O0HfQfr,6/2/2017 9:20,1,vitamind,vitamin D,0,,,,,,,
,282,7,8.14637E+17,228394397,"I love the way your breathNumbs me of novacaineAnd we areAlways highKeep it strangeOkay, yeah, I'm insaneBut you the same",12/30/2016 0:59,1,novacaine,Novocain,0,,,,,,,
,2,7,2.81142E+17,581174400,@tonytonyb ye still in agony i take tramadol like sweets im floatin rnd all the time haha! Hows maria?,12/18/2012 21:00,1,Tramadol,Tramadol,0,,,,,,,
,146,7,9.00101E+17,1413180914,Can Taking Adderall Cause Depression? https://t.co/t3L97XKSrz,8/22/2017 21:03,1,adderall,adderall,0,,,,,,,
,616,7,3.04799E+17,255138755,Vicks and socks. Praying this works because I'm so done with being sick 😩,2/22/2013 3:43,1,vicks,vicks,0,,,,,,,
,846,7,8.92407E+17,1596829382,More Than a Third of U.S. Adults Prescribed Opioids - About 92 million people were instructed to use the medica... https://t.co/kHGxgbASgS,8/1/2017 15:31,1,opioids,opioids,0,,,,,,,
,961,7,5.9828E+17,529321436,http://t.co/1Aus0wvJGF #snoring #Tafel #Arnica The most economical purchase in this size and strength I could fin… http://t.co/FH0T0EwoNK,5/13/2015 0:15,1,arnica,arnica,0,,,,,,,
,103,7,6.16038E+17,259694278,RT @BrownBagPantry: Sore strained muscles benefit from #homeopathic Arnica Even kids know  super heroes use it too! #homeopathyhour http://…,7/1/2015 0:18,1,arnica,arnica,0,,,,,,,
,444,7,4.24907E+17,2159147351,"Does anyone know where I can buy Arnica 200c?? (for childbirth) I've tried the usual ""traditional pharmacies"".",1/19/2014 14:13,1,arnica ,arnica ,0,,,,,,,
,657,7,8.84444E+17,280053148,I feel the Adderall kicking in,7/10/2017 16:09,1,adderall,adderall,0,,,,,,,
,768,7,8.92922E+17,1413180914,CME for Psychiatrists About Benzodiazepines https://t.co/ZB9LRddaAq,8/3/2017 1:38,1,benzodiazepines,benzodiazepines,0,,,,,,,
,120,7,8.62463E+17,412974412,Okay so if I haven't taken Adderall or drank coffee in almost ten hours but still haven't slept should I be worried? Still not tired.,5/11/2017 0:24,1,adderall,adderall,0,,,,,,,
,474,7,7.15537E+17,463849986,The only plus about being sick is that I get to smell Vicks,3/31/2016 13:53,1,vicks,vicks vaporub,0,,,,,,,
,860,7,8.97631E+17,46823597,Codeine is my best friend.,8/16/2017 1:29,1,codeine,codeine,0,,,,,,,
,349,7,9.08845E+17,540426669,"Things i can't wait for: to not rely on Tums so much, wear my wedding ring again, and to get back in shape!!",9/16/2017 0:08,1,tums,tums,0,,,,,,,
,762,7,7.76253E+17,2960334591,Took 3 NyQuil but I'm dancing in my room like I ain't gotta be up at 6 tomorrow for work,9/15/2016 2:56,1,nyquil,nyquil,0,,,,,,,
,780,7,5.77728E+17,81154975,"I took 2 Benedryl awhile ago, that usually knocks me right out. I think finally being able to take a deep breath woke me up.",3/17/2015 7:06,1,benedryl,benadryl,0,,,,,,,
,166,2,4.7609E+17,301056800,Is drinking NutriC the same as taking VitaminC? This question is very important,6/9/2014 19:56,1,vitaminc,vitamin C,0,error 8,cannot recognize if no space,,,,,
,205,3,7.24638E+17,78672371,hi i have just started efexor-xr for depression i have been on it... https://t.co/Xmtt8ele1v #Been #Depression #efexorxr #Expect #Just,4/25/2016 16:35,1,efexor-xr,effexor-xr,0,,cannot recognize if hyphen,,,,,
,389,9,4.05773E+17,31376994,My Dr. prescribed me some new nausea medicine and I will never take it again!!!! I felt like I was tranquilized. I was out for 12hrs!!!,11/27/2013 18:58,1,nausea medicine,nausea medicine,0,,non specific label drug,,,,,
