,tweet_id,user_id,text,created_at,label,Drug Name Extracted,Drug Name Normalized,txt_tokenized,txt_tagged,prediction,pattern_matching
731,796023183916802052,2508529767,But possible UTI so she prescribed me antibiotics forgot to give them my insurance card payed $50 👀so gonna go back to try get money off smh,2016-11-08 16:14:51,1,antibiotics,antibiotics,"['but', 'possible', 'uti', 'so', 'she', 'prescribed', 'me', 'antibiotics', 'forgot', 'to', 'give', 'them', 'my', 'insurance', 'card', 'payed', '$', '50', '👀', 'so', 'gonna', 'go', 'back', 'to', 'try', 'get', 'money', 'off', 'smh']","['but', 'possible', 'uti', 'so', 'she', 'prescribed', 'me', 'antibiotics', 'forgot', 'to', 'give', 'them', 'my', 'insurance', 'card', 'payed', '$', '50', '👀', 'so', 'gonna', 'go', 'back', 'to', 'try', 'get', 'money', 'off', 'smh']",0,
885,892463225329123329,169242671,RT @OhEmmeG: i really wanna show yall the ass maca root gave me. the shit really works good sis,2017-08-01 19:13:08,1,maca root,maca root,"['rt', '@ohemmeg', ':', 'i', 'really', 'wanna', 'show', 'yall', 'the', 'ass', 'maca', 'root', 'gave', 'me', '.', 'the', 'shit', 'really', 'works', 'good', 'sis']","['rt', '@ohemmeg', ':', 'i', 'really', 'wanna', 'show', 'yall', 'the', 'ass', 'maca', 'root', 'gave', 'me', '.', 'the', 'shit', 'really', 'works', 'good', 'sis']",0,
889,484968927127027712,32778223,"""@TheSpanishVines: Vicks fixes everything!  https://t.co/RttaJkD9GS"" @RC_Vega5 LMAO!!!",2014-07-04 07:56:17,1,vicks,vicks vaporub,"['""', '@thespanishvines', ':', 'vicks', 'fixes', 'everything', '!', 'https://t.co/rttajkd9gs', '""', '@rc_vega5', 'lmao', '!', '!', '!']","['""', '@thespanishvines', ':', 'vicks', 'fixes', 'everything', '!', 'https://t.co/rttajkd9gs', '""', '@rc_vega5', 'lmao', '!', '!', '!']",0,
835,750392600985636864,37728023,When can i take sub: I took 4 norcos at 230pm yesterday and have been on norcos for a long time im done its k... https://t.co/LAU7EBozOq,2016-07-05 18:15:12,1,norcos; norcos,norco; norco,"['when', 'can', 'i', 'take', 'sub', ':', 'i', 'took', '4', 'norcos', 'at', '230pm', 'yesterday', 'and', 'have', 'been', 'on', 'norcos', 'for', 'a', 'long', 'time', 'im', 'done', 'its', 'k', '...', 'https://t.co/lau7ebozoq']","['when', 'can', 'i', 'take', 'sub', ':', 'i', 'took', '4', 'norcos', 'at', '230pm', 'yesterday', 'and', 'have', 'been', 'on', 'norcos', 'for', 'a', 'long', 'time', 'im', 'done', 'its', 'k', '...', 'https://t.co/lau7ebozoq']",0,
320,275783053572448257,243031637,@staciguidry Me too. I blame the vyvanse. Plus I just don't really care who I offend most of the time.,2012-12-04 02:06:18,1,vyvanse,vyvanse,"['@staciguidry', 'me', 'too', '.', 'i', 'blame', 'the', 'vyvanse', '.', 'plus', 'i', 'just', ""don't"", 'really', 'care', 'who', 'i', 'offend', 'most', 'of', 'the', 'time', '.']","['@staciguidry', 'me', 'too', '.', 'i', 'blame', 'the', '__@DRUG@__', '.', 'plus', 'i', 'just', ""don't"", 'really', 'care', 'who', 'i', 'offend', 'most', 'of', 'the', 'time', '.']",0,
796,704944178799763456,50298370,"@Loveaudrey83 That was me yesterday. Today, paracetamol and coffee have just about got me going...",2016-03-02 08:19:24,1,paracetamol,paracetamol,"['@loveaudrey83', 'that', 'was', 'me', 'yesterday', '.', 'today', ',', 'paracetamol', 'and', 'coffee', 'have', 'just', 'about', 'got', 'me', 'going', '...']","['@loveaudrey83', 'that', 'was', 'me', 'yesterday', '.', '__@DRUG@__', ',', 'paracetamol', 'and', 'coffee', 'have', 'just', 'about', 'got', 'me', 'going', '...']",0,
577,850409573907402752,396749961,RT @Offparoletx: Stop hardcore kids from gettin into screw 2017 this herb pourin regular ass DayQuil or maybe robitussin on screws grave ht…,2017-04-07 18:06:56,1,dayquil,dayquil,"['rt', '@offparoletx', ':', 'stop', 'hardcore', 'kids', 'from', 'gettin', 'into', 'screw', '2017', 'this', 'herb', 'pourin', 'regular', 'ass', 'dayquil', 'or', 'maybe', 'robitussin', 'on', 'screws', 'grave', 'ht', '…']","['rt', '@offparoletx', ':', 'stop', 'hardcore', 'kids', 'from', 'gettin', 'into', 'screw', '2017', 'this', 'herb', 'pourin', 'regular', 'ass', 'dayquil', 'or', 'maybe', 'robitussin', 'on', 'screws', 'grave', 'ht', '…']",0,
872,870085777434083328,1554336475,RT @mariellephant: your mcm calls himself an entrepreneur bc he sells xanax to high schoolers,2017-06-01 01:13:09,1,xanax,xanax,"['rt', '@mariellephant', ':', 'your', 'mcm', 'calls', 'himself', 'an', 'entrepreneur', 'bc', 'he', 'sells', 'xanax', 'to', 'high', 'schoolers']","['rt', '@mariellephant', ':', 'your', 'mcm', 'calls', 'himself', 'an', 'entrepreneur', 'bc', 'he', 'sells', '__@DRUG@__', 'to', 'high', 'schoolers']",0,
893,582517749060091904,811165543,About to try myitworks hair skin and nail vitamins! http://t.co/30bzakS4Pj,2015-03-30 12:20:28,1,myitworks hair shin and nail vitamins,myitworks hair shin and nail vitamins,"['about', 'to', 'try', 'myitworks', 'hair', 'skin', 'and', 'nail', 'vitamins', '!', 'http://t.co/30bzaks4pj']","['about', 'to', 'try', 'myitworks', 'hair', 'skin', 'and', 'nail', 'vitamins', '!', 'http://t.co/30bzaks4pj']",0,
819,674572827572457472,20422177,I'm soooo nauseous from the cytoxin treatment yesterday. I curled up on the couch and Princess… https://t.co/Fs4iAEjsYG,2015-12-09 12:54:29,1,cytoxin,Cytoxan,"[""i'm"", 'soooo', 'nauseous', 'from', 'the', 'cytoxin', 'treatment', 'yesterday', '.', 'i', 'curled', 'up', 'on', 'the', 'couch', 'and', 'princess', '…', 'https://t.co/fs4iaejsyg']","[""i'm"", 'soooo', 'nauseous', 'from', 'the', 'cytoxin', 'treatment', 'yesterday', '.', 'i', 'curled', 'up', 'on', 'the', 'couch', 'and', 'princess', '…', 'https://t.co/fs4iaejsyg']",0,
765,231886890985484288,21353372,"Nothing says no-sleep-tonight quite like the sight of Nurofen, Calpol &amp; a thermometor on the bedside locker.... #onbabywatch",2012-08-04 22:58:37,1,Nurofen; Calpol,Nurofen; Calpol,"['nothing', 'says', 'no-sleep-tonight', 'quite', 'like', 'the', 'sight', 'of', 'nurofen', ',', 'calpol', '&', 'a', 'thermometor', 'on', 'the', 'bedside', 'locker', '...', '#onbabywatch']","['nothing', 'says', 'no-sleep-tonight', 'quite', 'like', 'the', 'sight', 'of', 'nurofen', ',', 'calpol', '&', 'a', 'thermometor', 'on', 'the', 'bedside', 'locker', '...', '#onbabywatch']",0,
141,373971753833218049,341977826,"Why hasn't some bright spark invented a Panadol, post mix coke and hot chip vending machine especially for Sundays???",2013-09-01 00:53:08,1,panadol,panadol,"['why', ""hasn't"", 'some', 'bright', 'spark', 'invented', 'a', 'panadol', ',', 'post', 'mix', 'coke', 'and', 'hot', 'chip', 'vending', 'machine', 'especially', 'for', 'sundays', '?', '?', '?']","['why', ""hasn't"", 'some', 'bright', 'spark', 'invented', 'a', 'panadol', ',', 'post', 'mix', 'coke', 'and', 'hot', 'chip', 'vending', 'machine', 'especially', 'for', 'sundays', '?', '?', '?']",0,
729,653751748746735616,408912728,A shot of morphine changes someone...... Their sleeping schedule that is,2015-10-13 01:58:57,1,morphine,morphine,"['a', 'shot', 'of', 'morphine', 'changes', 'someone', '...', 'their', 'sleeping', 'schedule', 'that', 'is']","['a', 'shot', 'of', 'morphine', 'changes', 'someone', '...', 'their', 'sleeping', 'schedule', 'that', 'is']",0,
923,619670005106372608,1146482054,RT @RowdyLifeYP: XANAX IS NOT WASSUP... Yall need to slow down with that shit,2015-07-11 00:50:16,1,xanax,xanax,"['rt', '@rowdylifeyp', ':', 'xanax', 'is', 'not', 'wassup', '...', 'yall', 'need', 'to', 'slow', 'down', 'with', 'that', 'shit']","['rt', '@rowdylifeyp', ':', '__@DRUG@__', 'is', 'not', 'wassup', '...', 'yall', 'need', 'to', 'slow', 'down', 'with', 'that', 'shit']",0,
49,900442114080866304,16561927,Waiting for this antibiotic and painkiller to kick in. ⌚,2017-08-23 19:38:24,1,antibiotic; painkiller,antibiotic; painkiller,"['waiting', 'for', 'this', 'antibiotic', 'and', 'painkiller', 'to', 'kick', 'in', '.', '⌚']","['waiting', 'for', 'this', 'antibiotic', 'and', 'painkiller', 'to', 'kick', 'in', '.', '⌚']",0,
724,840349009680187394,25111161,Should Viagra and Birth Control Be Regulated the Same Way? https://t.co/JAWGYO2Hvm via @YahooBeauty,2017-03-10 23:49:51,1,viagra; birth control,viagra; birth control,"['should', 'viagra', 'and', 'birth', 'control', 'be', 'regulated', 'the', 'same', 'way', '?', 'https://t.co/jawgyo2hvm', 'via', '@yahoobeauty']","['should', '__@DRUG@__', 'and', 'birth', 'control', 'be', 'regulated', 'the', 'same', 'way', '?', 'https://t.co/jawgyo2hvm', 'via', '@yahoobeauty']",0,
166,476090412785205248,301056800,Is drinking NutriC the same as taking VitaminC? This question is very important,2014-06-09 19:56:14,1,vitaminc,vitamin C,"['is', 'drinking', 'nutric', 'the', 'same', 'as', 'taking', 'vitaminc', '?', 'this', 'question', 'is', 'very', 'important']","['is', 'drinking', 'nutric', 'the', 'same', 'as', 'taking', 'vitaminc', '?', 'this', 'question', 'is', 'very', 'important']",0,
6,905059073720283136,3131199549,Mirtazapine (remeron) is completely destroying my sex drive. Any advice? Or is this just part and parcel.,2017-09-05 13:24:33,1,mirtazapine; remeron,mirtazapine; remeron,"['mirtazapine', '(', 'remeron', ')', 'is', 'completely', 'destroying', 'my', 'sex', 'drive', '.', 'any', 'advice', '?', 'or', 'is', 'this', 'just', 'part', 'and', 'parcel', '.']","['__@DRUG@__', '(', '__@DRUG@__', ')', 'is', 'completely', 'destroying', 'my', 'sex', 'drive', '.', 'any', 'advice', '?', 'or', 'is', 'this', 'just', 'part', 'and', 'parcel', '.']",0,
914,653402514109304832,3464486112,I think them percocets had me in my feelings..,2015-10-12 02:51:13,1,percocets,percocet,"['i', 'think', 'them', 'percocets', 'had', 'me', 'in', 'my', 'feelings', '..']","['i', 'think', 'them', 'percocets', 'had', 'me', 'in', 'my', 'feelings', '..']",0,
282,814637082752720896,228394397,"I love the way your breathNumbs me of novacaineAnd we areAlways highKeep it strangeOkay, yeah, I'm insaneBut you the same",2016-12-30 00:59:50,1,novacaine,Novocain,"['i', 'love', 'the', 'way', 'your', 'breathnumbs', 'me', 'of', 'novacaineand', 'we', 'arealways', 'highkeep', 'it', 'strangeokay', ',', 'yeah', ',', ""i'm"", 'insanebut', 'you', 'the', 'same']","['i', 'love', 'the', 'way', 'your', 'breathnumbs', 'me', 'of', 'novacaineand', 'we', 'arealways', 'highkeep', 'it', 'strangeokay', ',', 'yeah', ',', ""i'm"", 'insanebut', 'you', 'the', 'same']",0,
834,884282837503012865,346317396,RT @Sadieisonfire: 2018 freshman xxl class:lil hydrantlil spoonlil 1.2 gpalil lillil fegislil weed smokingtylenol pm infinity ward…,2017-07-10 05:27:12,1,tylenol pm,tylenol pm,"['rt', '@sadieisonfire', ':', '2018', 'freshman', 'xxl', 'class', ':', 'lil', 'hydrantlil', 'spoonlil', '1.2', 'gpalil', 'lillil', 'fegislil', 'weed', 'smokingtylenol', 'pm', 'infinity', 'ward', '…']","['rt', '@sadieisonfire', ':', '2018', 'freshman', 'xxl', 'class', ':', 'lil', 'hydrantlil', 'spoonlil', '1.2', 'gpalil', 'lillil', 'fegislil', 'weed', 'smokingtylenol', 'pm', 'infinity', 'ward', '…']",0,
760,897773365263552513,133014226,just got prescribed new antipsychotics so now on 3 meds that make me gain weight as a side effectYES so happy excellent absolutely fantastic,2017-08-16 10:53:44,1,antipsychotics,antipsychotics,"['just', 'got', 'prescribed', 'new', 'antipsychotics', 'so', 'now', 'on', '3', 'meds', 'that', 'make', 'me', 'gain', 'weight', 'as', 'a', 'side', 'effectyes', 'so', 'happy', 'excellent', 'absolutely', 'fantastic']","['just', 'got', 'prescribed', 'new', 'antipsychotics', 'so', 'now', 'on', '3', 'meds', 'that', 'make', 'me', 'gain', 'weight', 'as', 'a', 'side', 'effectyes', 'so', 'happy', 'excellent', 'absolutely', 'fantastic']",0,
920,856688176836030465,606444492,Online shopping and blaming the cough syrup with codeine when it arrives 🤷🏼‍♀️,2017-04-25 01:55:52,1,cough syrup with codeine,cough syrup with codeine,"['online', 'shopping', 'and', 'blaming', 'the', 'cough', 'syrup', 'with', 'codeine', 'when', 'it', 'arrives', '🤷', '🏼', '\u200d', '♀', '️']","['online', 'shopping', 'and', 'blaming', 'the', 'cough', 'syrup', 'with', 'codeine', 'when', 'it', 'arrives', '🤷', '🏼', '\u200d', '♀', '️']",0,
714,520787185961037824,232773383,This month's #Melatonin stash... how many mg's do you give your #AutisticChild http://t.co/RZvu7oIocA,2014-10-11 04:05:15,1,melatonin,melatonin,"['this', ""month's"", '#melatonin', 'stash', '...', 'how', 'many', ""mg's"", 'do', 'you', 'give', 'your', '#autisticchild', 'http://t.co/rzvu7oioca']","['this', ""month's"", '#melatonin', 'stash', '...', 'how', 'many', ""mg's"", 'do', 'you', 'give', 'your', '#autisticchild', 'http://t.co/rzvu7oioca']",0,
427,903550314409811968,783269761832652805,"VICKS Vapor Rub ACNE TREATMENT??? (When, Where &amp; How To Apply) https://t.co/gLP7fB8uqo",2017-09-01 09:29:16,1,vicks vapor rub,vicks vaporub,"['vicks', 'vapor', 'rub', 'acne', 'treatment', '?', '?', '?', '(', 'when', ',', 'where', '&', 'how', 'to', 'apply', ')', 'https://t.co/glp7fb8uqo']","['vicks', 'vapor', 'rub', 'acne', 'treatment', '?', '?', '?', '(', 'when', ',', 'where', '&', 'how', 'to', 'apply', ')', 'https://t.co/glp7fb8uqo']",0,
906,880989431464947713,849585653012512768,#iCliniq Q. Can I take Prednisolone for asthma? #InternalMedicine #Asthma #Levocetirizine #Allergy #InhaledSteroids https://t.co/ZdY2SjRDZ0,2017-07-01 03:20:23,1,prednisolone; levocetirizine; inhaled steroids,prednisolone; levocetirizine; inhaled steroids,"['#icliniq', 'q', '.', 'can', 'i', 'take', 'prednisolone', 'for', 'asthma', '?', '#internalmedicine', '#asthma', '#levocetirizine', '#allergy', '#inhaledsteroids', 'https://t.co/zdy2sjrdz0']","['#icliniq', 'q', '.', 'can', 'i', 'take', '__@DRUG@__', 'for', 'asthma', '?', '#internalmedicine', '#asthma', '#levocetirizine', '#allergy', '#inhaledsteroids', 'https://t.co/zdy2sjrdz0']",0,
